Index;Latitude;Longitude;Distance from Tx [km];Terrain height [m a.s.l.]
505;51,240850815799;16,4640404666515;50,5;96
506;51,2404227217572;16,4627771589113;50,6;120
507;51,2399946141175;16,4615138746846;50,7;110
508;51,2395664928803;16,4602506139715;50,8;101
509;51,2391383580462;16,4589873767718;50,9;93
510;51,2387102096156;16,4577241630856;51;98
511;51,238282047589;16,4564609729128;51,1;105
512;51,2378538719668;16,4551978062533;51,2;87
513;51,2374256827495;16,453934663107;51,3;85
514;51,2369974799375;16,4526715434741;51,4;95
515;51,2365692635314;16,4514084473543;51,5;89
516;51,2361410335315;16,4501453747476;51,6;87
517;51,2357127899383;16,448882325654;51,7;91
518;51,2352845327523;16,4476193000734;51,8;91
519;51,234856261974;16,4463562980058;51,9;96
520;51,2344279776038;16,4450933194511;52;92
521;51,2339996796421;16,4438303644093;52,1;94
522;51,2335713680895;16,4425674328803;52,2;93
523;51,2331430429464;16,4413045248641;52,3;90
524;51,2327147042133;16,4400416403606;52,4;94
525;51,2322863518905;16,4387787793698;52,5;92
526;51,2318579859787;16,4375159418916;52,6;88
527;51,2314296064782;16,4362531279259;52,7;94
528;51,2310012133895;16,4349903374727;52,8;100
529;51,230572806713;16,433727570532;52,9;93
530;51,2301443864493;16,4324648271037;53;91
531;51,2297159525987;16,4312021071878;53,1;92
532;51,2292875051619;16,4299394107842;53,2;97
533;51,2288590441391;16,4286767378928;53,3;94
534;51,2284305695309;16,4274140885136;53,4;103
535;51,2280020813377;16,4261514626465;53,5;106
536;51,22757357956;16,4248888602915;53,6;104
537;51,2271450641982;16,4236262814486;53,7;105
538;51,2267165352529;16,4223637261177;53,8;104
539;51,2262879927245;16,4211011942987;53,9;90
540;51,2258594366133;16,4198386859915;54;96
541;51,22543086692;16,4185762011962;54,1;101
542;51,2250022836449;16,4173137399127;54,2;101
543;51,2245736867886;16,4160513021409;54,3;101
544;51,2241450763514;16,4147888878807;54,4;95
545;51,2237164523339;16,4135264971322;54,5;100
546;51,2232878147364;16,4122641298952;54,6;109
547;51,2228591635596;16,4110017861698;54,7;101
548;51,2224304988037;16,4097394659558;54,8;94
549;51,2220018204694;16,4084771692532;54,9;98
550;51,2215731285569;16,4072148960619;55;93
551;51,2211444230669;16,4059526463819;55,1;111
552;51,2207157039998;16,4046904202132;55,2;110
553;51,220286971356;16,4034282175557;55,3;110
554;51,2198582251359;16,4021660384093;55,4;116
555;51,2194294653401;16,4009038827739;55,5;126
556;51,2190006919691;16,3996417506496;55,6;114
557;51,2185719050232;16,3983796420363;55,7;113
558;51,2181431045029;16,3971175569339;55,8;121
559;51,2177142904087;16,3958554953423;55,9;121
560;51,2172854627411;16,3945934572616;56;122
561;51,2168566215005;16,3933314426916;56,1;113
562;51,2164277666874;16,3920694516323;56,2;127
563;51,2159988983022;16,3908074840837;56,3;130
564;51,2155700163454;16,3895455400456;56,4;132
565;51,2151411208175;16,3882836195181;56,5;123
566;51,2147122117189;16,3870217225011;56,6;124
567;51,21428328905;16,3857598489945;56,7;117
568;51,2138543528114;16,3844979989982;56,8;111
569;51,2134254030035;16,3832361725123;56,9;115
570;51,2129964396268;16,3819743695367;57;113
571;51,2125674626817;16,3807125900712;57,1;115
572;51,2121384721687;16,379450834116;57,2;116
573;51,2117094680882;16,3781891016708;57,3;113
574;51,2112804504408;16,3769273927356;57,4;121
575;51,2108514192268;16,3756657073105;57,5;108
576;51,2104223744467;16,3744040453953;57,6;117
577;51,209993316101;16,3731424069899;57,7;113
578;51,2095642441902;16,3718807920944;57,8;117
579;51,2091351587147;16,3706192007086;57,9;109
580;51,2087060596749;16,3693576328326;58;107
